player_id,age,club_id,estimated_selling_value,expiry_date,name,position,rating,selling_value,selling_value_difference,transfer_status,updated_date,wage,value,contract,experience,personality,weeks_at_the_club,highest_bidding_club
11465521,18,104239,8940739,"2019-11-16 23:34:00","Aydin Okanalp",ATTACKER_CENTER,6,121000,0,ALREADY_SOLD,NULL,81,78525,"3 seasons",0,-,10,RIVER.
10735183,18,60376,13185234,"2019-11-17 02:28:00","Radoslaw Rozycki",MIDFIELDER_CENTER,14,707000,0,ALREADY_SOLD,NULL,647,210903,"Until the end of the season",0,-,10,"Knockea United"
10588441,19,105413,10032525,"2019-11-19 11:42:00","Yasuyuki Kitabatake",DEFENDER_RIGHT,9,150000,0,ALREADY_SOLD,NULL,196,99245,"Until the end of the season",0,-,10,丸男
8787012,24,104905,12263985,"2019-11-17 10:26:00","Maxim Speeck",ATTACKER_CENTER,15,12000,0,ALREADY_SOLD,NULL,919,323200,"Until the end of the season",0,-,87,"NK Dugi Rat"
10653381,18,66818,11723883,"2019-11-17 18:55:00","Dan Cherrier",ATTACKER_CENTER,12,217000,0,ALREADY_SOLD,NULL,399,147486,"Until the end of the season",0,-,13,"Great Budapest"
10880504,18,103825,11316498,"2019-11-17 02:30:00","Metin Akyol",MIDFIELDER_LEFT,11,155000,0,ALREADY_SOLD,NULL,224,120270,"Until the end of the season",0,"He has low self-belief and can sometimes buckle under pressure.",16,izola100
5880305,35,101620,13789604,"2019-11-17 12:45:00","Ilmo Makinen",ATTACKER_CENTER,23,98440,0,ALREADY_SOLD,NULL,5833,458529,"Until the end of the season",0,"Ilmo is a true role model that younger players can look up to.",81,"Ard Skellig FC"
11870445,17,79849,7061323,"2019-11-17 10:41:00","Silviu Zidar",ATTACKER_LEFT,3,3000,0,ALREADY_SOLD,NULL,11,55036,"2 seasons",0,-,13,"AC Vitasana"
11045521,17,67271,11163030,"2019-11-17 07:36:00","Ignacy Radzinski",MIDFIELDER_CENTER,10,252000,0,ALREADY_SOLD,NULL,323,144300,"2 seasons",0,-,68,Deathbydawn
8438961,33,47942,17631416,"2019-11-17 07:07:00","Koi Sho Sa",DEFENDER_RIGHT,30,3000000,0,ALREADY_SOLD,NULL,14938,4130200,"2 seasons",0,-,231,Steaua111
